km,pk,plus,elementType,degree,min,sec,radius,h,t1,t2,length,endKm,endPk,endPlus,l1,l2
1283,0,0,STRAIGHT,0,0,0,0,0,0,0,724.73,1283,7,24.73,0,0
1283,7,24.73,RIGHT_FULL_CURVE,2,9,46.61599,2900,0,74.29,65.2,139.477,1283,8,64.21,40,20
1283,8,64.21,STRAIGHT,0,0,0,0,0,0,0,10.298,1283,8,74.51,0,0
1283,8,74.51,LEFT_FULL_CURVE,1,2,34.78131,8658.891,0,78.81,78.81,157.624,1284,0,32.13,0,0
1284,0,32.13,STRAIGHT,0,0,0,0,0,0,0,644.294,1284,6,76.13,0,0
1284,6,76.13,LEFT_FULL_CURVE,7,30,12.02068,1700,0,183.9,199.12,382.629,1285,0,58.76,140,180
1285,0,58.76,STRAIGHT,0,0,0,0,0,0,0,2944.239,1288,0,3.18,0,0
1288,0,3.18,LEFT_FULL_CURVE,0,5,15.50134,10000,0,7.65,7.65,15.296,1288,0,18.47,0,0
1288,0,18.47,STRAIGHT,0,0,0,0,0,0,0,1062.933,1289,0,81.41,0,0
1289,0,81.41,RIGHT_FULL_CURVE,13,16,27.42302,1992,0,302.38,311.3,611.506,1289,6,91.75,140,160
1289,6,91.75,STRAIGHT,0,0,0,0,0,0,0,582.447,1290,2,74.19,0,0
1290,2,74.19,LEFT_FULL_CURVE,15,2,44.34002,1000,0,192.96,201.32,392.596,1290,6,67.5,120,140.001
1290,6,67.5,STRAIGHT,0,0,0,0,0,0,0,107.309,1290,7,74.81,0,0
1290,7,74.81,LEFT_FULL_CURVE,3,37,16.68931,1100,0,71.9,57.65,129.524,1290,9,4.33,80,40
1290,9,4.33,STRAIGHT,0,0,0,0,0,0,0,19.853,1290,9,24.18,0,0
1290,9,24.18,RIGHT_FULL_CURVE,3,11,19.05078,2050,0,67.24,71.88,139.087,1291,0,62.94,20,30
1291,0,62.94,STRAIGHT,0,0,0,0,0,0,0,8.312,1291,0,71.25,0,0
1291,0,71.25,RIGHT_FULL_CURVE,4,35,38.43169,1120,0,74.42,70.44,144.802,1291,2,16.05,60,49.999
1291,2,16.05,STRAIGHT,0,0,0,0,0,0,0,11.205,1291,2,27.26,0,0
1291,2,27.26,LEFT_FULL_CURVE,4,12,22.14683,1230,0,60.91,69.43,130.295,1291,3,57.55,30,49.999
1291,3,57.55,STRAIGHT,0,0,0,0,0,0,0,798.277,1292,1,55.83,0,0
1292,1,55.83,RIGHT_FULL_CURVE,0,10,54.49467,10000,0,15.87,15.87,31.731,1292,1,87.56,0,0
1292,1,87.56,STRAIGHT,0,0,0,0,0,0,0,545.542,1292,7,33.1,0,0
1292,7,33.1,LEFT_FULL_CURVE,7,36,50.53207,910,0,94.3,116.86,210.93,1292,9,44.03,60,120
1292,9,44.03,STRAIGHT,0,0,0,0,0,0,0,549.806,1293,4,93.76,0,0
1293,4,93.76,LEFT_FULL_CURVE,0,3,47.41328,10000,0,5.51,5.51,11.025,1293,5,4.79,0,0
1293,5,4.79,STRAIGHT,0,0,0,0,0,0,0,647.946,1294,1,52.84,0,0
1294,1,52.84,RIGHT_FULL_CURVE,45,55,48.28514,578,0,275.49,289.72,538.343,1294,6,91.16,60,90
1294,6,91.16,STRAIGHT,0,0,0,0,0,0,0,69.572,1294,7,60.73,0,0
1294,7,60.73,LEFT_FULL_CURVE,26,55,12.6064,593,0,176.25,142.69,313.618,1295,0,74.36,70,10
1295,0,74.36,LEFT_FULL_CURVE,2,37,41.19801,1500,0,39.31,74.5,113.804,1295,1,88.17,10,90
1295,1,88.17,STRAIGHT,0,0,0,0,0,0,0,607.644,1295,7,95.81,0,0
1295,7,95.81,RIGHT_FULL_CURVE,21,20,46.52893,981,0,244.48,235.47,475.484,1296,2,71.3,120,100
1296,2,71.3,STRAIGHT,0,0,0,0,0,0,0,386.276,1296,6,57.58,0,0
1296,6,57.58,RIGHT_FULL_CURVE,0,6,52.50797,10000,0,10,10,19.999,1296,6,77.58,0,0
1296,6,77.58,STRAIGHT,0,0,0,0,0,0,0,405.836,1297,0,83.41,0,0
1297,0,83.41,LEFT_FULL_CURVE,38,7,33.51727,591.7,0,267.92,206.39,458.731,1297,5,42.12,130,25
1297,5,42.12,LEFT_FULL_CURVE,4,5,54.85417,1020,0,39.3,68.7,107.964,1297,6,49.51,25,70
1297,6,49.51,STRAIGHT,0,0,0,0,0,0,0,551.49,1298,2,0,0,0
