km,pk,plus,alt,dec,len
1283,0,0,77.12,,
1283,1,0,76.59,-5.3,100
1283,2,0,76.24,-3.5,100
1283,3,0,76.06,-1.8,100
1283,4,0,76.04,-0.2,100
1283,5,0,76.04,0,100
1283,6,0,76.04,0,100
1283,7,0,76.06,0.2,100
1283,8,0,76.08,0.2,100
1283,8,9.1,76.06,-2.2,9.1
1283,9,0,76,-0.7,90.9
1284,0,0,76,0,100
1284,1,0,76.06,0.6,100
1284,2,0,76.29,2.3,100
1284,3,0,76.53,2.4,100
1284,4,0,76.87,3.4,100
1284,5,0,77.29,4.2,100
1284,6,0,77.75,4.6,100
1284,6,64.7,78.24,7.6,64.7
1284,7,0,78.55,8.8,35.3
1284,8,0,79.46,9.1,100
1284,9,0,80,5.4,100
1285,0,0,80.2,2,100
1285,1,0,80.1,-1,100
1285,2,0,80.09,-0.1,100
1285,3,0,80.16,0.7,100
1285,4,0,80.19,0.3,100
1285,5,0,80.18,-0.1,100
1285,6,0,80.29,1.1,100
1285,7,0,80.36,0.7,100
1285,8,0,80.46,1,100
1285,8,23.8,80.46,0,23.8
1285,9,0,80.54,1,76.2
1286,0,0,80.79,2.5,100
1286,1,0,81,2.1,100
1286,2,0,81.07,0.7,100
1286,3,0,81.47,4,100
1286,4,0,82.08,6.1,100
1286,4,4.9,82.09,2,4.9
1286,5,0,82.29,2.1,95.1
1286,6,0,82.21,-0.8,100
1286,7,0,82.2,-0.1,100
1286,8,0,82.2,0,100
1286,9,0,82.2,0,100
1286,9,69.75,82.35,2.2,69.75
1287,0,0,82.39,1.3,30.25
1287,1,0,82.38,-0.1,100
1287,2,0,82.46,0.8,100
1287,3,0,82.66,2,100
1287,4,0,82.88,2.2,100
1287,5,0,83.01,1.3,100
1287,6,0,83.06,0.5,100
1287,7,0,83.04,-0.2,100
1287,8,0,83.07,0.3,100
1287,9,0,83.01,-0.6,100
1288,0,0,82.97,-0.4,100
1288,1,0,83.1,1.3,100
1288,2,0,83.32,2.2,100
1288,3,0,83.56,2.4,100
1288,4,0,83.69,1.3,100
1288,5,0,83.88,1.9,100
1288,6,0,83.92,0.4,100
1288,7,0,83.91,-0.1,100
1288,8,0,83.89,-0.2,100
1288,9,0,83.79,-1,100
1289,0,0,83.7,-0.9,100
1289,1,0,83.7,0,100
1289,2,0,83.7,0,100
1289,3,0,83.74,0.4,100
1289,4,0,83.74,0,100
1289,5,0,83.74,0,100
1289,6,0,83.67,-0.7,100
1289,6,54.8,83.65,-0.4,54.8
1289,7,0,83.73,1.8,45.2
1289,8,0,83.87,1.4,100
1289,9,0,83.95,0.8,100
1290,0,0,83.9,-0.5,100
1290,1,0,83.78,-1.2,100
1290,2,0,83.61,-1.7,100
1290,3,0,83.24,-3.7,100
1290,4,0,82.63,-6.1,100
1290,5,0,81.82,-8.1,100
1290,5,36.6,81.31,-13.9,36.6
1290,6,0,80.72,-9.3,63.4
1290,7,0,80.62,-1,100
1290,8,0,80.57,-0.5,100
1290,9,0,80.51,-0.6,100
1291,0,0,80.58,0.7,100
1291,0,69,80.67,1.3,69
1291,1,0,80.69,0.6,31
1291,2,0,80.83,1.4,100
1291,3,0,81.3,4.7,100
1291,4,0,81.9,6,100
1291,5,0,82.55,6.5,100
1291,6,0,83.16,6.1,100
1291,7,0,83.79,6.3,100
1291,8,0,84.56,7.7,100
1291,9,0,85.38,8.2,100
1292,0,0,86.04,6.6,100
1292,1,0,86.57,5.3,100
1292,2,0,86.58,0.1,100
1292,3,0,86.56,-0.2,100
1292,4,0,86.64,0.8,100
1292,5,0,86.67,0.3,100
1292,6,0,86.58,-0.9,100
1292,7,0,86.57,-0.1,100
1292,8,0,86.78,2.1,100
1292,9,0,86.77,-0.1,100
1293,0,0,86.65,-1.2,100
1293,1,0,86.62,-0.3,100
1293,1,67.3,86.52,-1.5,67.3
1293,2,0,86.48,-1.2,32.7
1293,3,0,86.44,-0.4,100
1293,4,0,86.5,0.6,100
1293,5,0,86.45,-0.5,100
1293,6,0,86.46,0.1,100
1293,7,0,86.45,-0.1,100
1293,8,0,86.46,0.1,100
